date,product,quantity,unit_price
2026-01-04,widget,10,2.50
2026-01-11,gadget,3,19.99
2026-01-19,widget,7,2.50
2026-01-27,gizmo,2,45.00
2026-02-02,gadget,5,19.99
2026-02-09,widget,12,2.50
2026-02-17,gizmo,1,45.00
2026-02-24,gadget,4,19.99
2026-03-03,widget,15,2.50
2026-03-10,gizmo,3,45.00
2026-03-18,gadget,6,19.99
2026-03-26,widget,9,2.50
2026-04-01,gizmo,4,45.00
2026-04-08,gadget,2,19.99
2026-04-16,widget,20,2.50
2026-04-23,gizmo,2,45.00
2026-05-05,gadget,8,19.99
2026-05-12,widget,11,2.50
2026-05-20,gizmo,5,45.00
2026-05-28,gadget,3,19.99
2026-06-02,widget,18,2.50
2026-06-09,gizmo,6,45.00
2026-06-17,gadget,7,19.99
2026-06-25,widget,14,2.50
